,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
167,University College Dublin,Ireland,Europe,168.0,51.5,https://www.topuniversities.com/universities/university-college-dublin#wurs,1604.0,627.0,19833.0,3876.0
168,Dartmouth College,United States,North America,169.0,51.3,https://www.topuniversities.com/universities/dartmouth-college#wurs,939.0,27.0,6224.0,945.0
169,Politecnico di Milano,Italy,Europe,170.0,50.9,https://www.topuniversities.com/universities/politecnico-di-milano#wurs,1500.0,231.0,36277.0,5593.0
170,Albert-Ludwigs-Universitaet Freiburg,Germany,Europe,171.0,50.8,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg#wurs,1966.0,413.0,23214.0,3897.0
171,Indian Institute of Technology Delhi (IITD),India,Asia,172.0,50.7,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd#wurs,466.0,4.0,7477.0,80.0
172,University of Virginia,United States,North America,173.0,50.3,https://www.topuniversities.com/universities/university-virginia#wurs,2509.0,487.0,21560.0,1899.0
173,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,173.0,50.3,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals#wurs,1062.0,665.0,6040.0,989.0
174,University of Liverpool,United Kingdom,Europe,173.0,50.3,https://www.topuniversities.com/universities/university-liverpool#wurs,2390.0,717.0,22065.0,7502.0
175,University of Technology Sydney,Australia,Oceania,176.0,50.1,https://www.topuniversities.com/universities/university-technology-sydney#wurs,1328.0,546.0,24207.0,7769.0
176,CentraleSupélec,France,Europe,177.0,50.0,https://www.topuniversities.com/universities/centralesup%C3%A9lec#wurs,529.0,137.0,3877.0,1132.0
177,University of Florida,United States,North America,178.0,49.8,https://www.topuniversities.com/universities/university-florida#wurs,5419.0,504.0,45485.0,4597.0
178,University of Twente,Netherlands,Europe,179.0,49.7,https://www.topuniversities.com/universities/university-twente#wurs,910.0,299.0,9332.0,2235.0
179,Indian Institute of Technology Bombay (IITB),India,Asia,179.0,49.7,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb#wurs,876.0,19.0,9402.0,93.0
180,University of Göttingen,Germany,Europe,181.0,49.6,https://www.topuniversities.com/universities/university-g%C3%B6ttingen#wurs,3678.0,641.0,30402.0,3736.0
181,Vrije Universiteit Brussel (VUB),Belgium,Europe,182.0,49.5,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub#wurs,1792.0,515.0,9284.0,1853.0
182,Universidade Estadual de Campinas (Unicamp),Brazil,Latin America,182.0,49.5,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp#wurs,1968.0,109.0,26572.0,966.0
183,University of Colorado Boulder,United States,North America,182.0,49.5,https://www.topuniversities.com/universities/university-colorado-boulder#wurs,3685.0,566.0,30219.0,2679.0
184,Vienna University of Technology,Austria,Europe,182.0,49.5,https://www.topuniversities.com/universities/vienna-university-technology#wurs,706.0,172.0,17479.0,5199.0
185,University of Rochester,United States,North America,186.0,49.3,https://www.topuniversities.com/universities/university-rochester#wurs,2569.0,488.0,9636.0,2805.0
186,Universidad Autónoma de Madrid,Spain,Europe,187.0,49.2,https://www.topuniversities.com/universities/universidad-aut%C3%B3noma-de-madrid#wurs,2738.0,181.0,26511.0,2976.0
188,University of Reading,United Kingdom,Europe,188.0,49.1,https://www.topuniversities.com/universities/university-reading#wurs,1280.0,422.0,13330.0,4077.0
187,Alma Mater Studiorum - University of Bologna,Italy,Europe,188.0,49.1,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna#wurs,2990.0,153.0,63399.0,4195.0
189,Indian Institute of Science (IISc) Bangalore,India,Asia,190.0,49.0,https://www.topuniversities.com/universities/indian-institute-science-iisc-bangalore#wurs,423.0,423.0,4071.0,47.0
190,University of Cape Town,South Africa,Africa,191.0,48.9,https://www.topuniversities.com/universities/university-cape-town#wurs,1733.0,379.0,19593.0,3325.0
191,Scuola Normale Superiore di Pisa,Italy,Europe,192.0,48.5,https://www.topuniversities.com/universities/scuola-normale-superiore-di-pisa#wurs,86.0,1.0,532.0,48.0
192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,Europe,192.0,48.5,https://www.topuniversities.com/universities/scuola-superiore-santanna-pisa-di-studi-universitari-e-di-perfezionamento#wurs,119.0,1.0,789.0,135.0
193,Keio University,Japan,Asia,192.0,48.5,https://www.topuniversities.com/universities/keio-university#wurs,3905.0,261.0,33500.0,2178.0
194,Stockholm University,Sweden,Europe,195.0,48.1,https://www.topuniversities.com/universities/stockholm-university#wurs,2154.0,646.0,28281.0,2636.0
195,Universitat Autònoma de Barcelona,Spain,Europe,195.0,48.1,https://www.topuniversities.com/universities/universitat-aut%C3%B2noma-de-barcelona#wurs,2187.0,230.0,31986.0,3848.0
196,Texas A&M University,United States,North America,195.0,48.1,https://www.topuniversities.com/universities/texas-am-university#wurs,3446.0,206.0,60294.0,4900.0
197,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,Latin America,199.0,48.0,https://www.topuniversities.com/universities/instituto-tecnol%C3%B3gico-y-de-estudios-superiores-de-monterrey#wurs,1822.0,821.0,13376.0,1412.0
198,Maastricht University,Netherlands,Europe,200.0,47.9,https://www.topuniversities.com/universities/maastricht-university#wurs,1277.0,502.0,16385.0,8234.0
199,Universidad de Chile,Chile,Latin America,201.0,47.8,https://www.topuniversities.com/universities/universidad-de-chile#wurs,2256.0,127.0,38848.0,2134.0
